Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.23988664274449625,-0.8982949712182121,0.012576667654086618,0,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.6459600625060871,0.4955156142402038,-0.2436849375626765,1,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.3846624046741827,1.0833458745638354,-0.2782291493354304,1,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.18414471440681637,-1.9204162195593153,0.14570689906357462,0,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.22917545261122646,-1.26020730879849,0.11192298615810012,0,DevCoin
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.07800422768875924,-1.1011896119187623,-0.02050596750882724,0,EarthCoin
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.1706723487045576,-1.0973968321875749,-0.016404349297769988,0,E-Gulden
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.16627394958862246,-1.0974935998901039,-0.016476254364121198,0,Einsteinium
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.17061156001849764,-1.097403422557774,-0.01640522960495113,0,Emerald
EXCL,PoS,PoS,5679705.0,0.0,-0.3253776482086248,1.3412028974918266,-0.020921035964947106,1,Exclusive Coin
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.25770808553899727,0.2802159120510812,-0.16381710609909145,1,FlutterCoin
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.17098327595557292,-1.0973973003711313,-0.016399108383164017,0,Franko
FTC,NeoScrypt,PoW,208669093.00773,336000000.0,-0.18283832280447684,-1.6289081618978856,0.11271474935810187,0,FeatherCoin
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.15018765569890893,-1.0979218819795438,-0.01673762674419902,0,GrandCoin
GLC,Scrypt,PoW,65672720.4708748,70000000.0,-0.16977744051852417,-1.0974108438126624,-0.01641910188919024,0,GlobalCoin
GLD,Scrypt,PoW,41658647.9999715,72245700.0,-0.17005503617567527,-1.0974193197290198,-0.01641424874901318,0,GoldCoin
HBN,Scrypt,PoW/PoS,89266933.684704,120000000.0,-0.33592941983479035,1.1323173038975634,-0.3766689445537374,1,HoboNickels
HYP,X11,PoS,1678520090.7713,0.0,-0.32645104709612394,0.984238345228606,-0.12697844949667045,1,HyperStake
IFC,Scrypt,PoW,90595753018.6314,90600000000.0,1.5793149233280384,-1.120944937492161,-0.045336143110095393,0,Infinite Coin
IOC,X11,PoW/PoS,17650913.9743456,22000000.0,-0.40649881924002884,1.3314556714859012,-0.3476659189083448,1,IOCoin
IXC,SHA-256,PoW,21089348.999,21000000.0,-0.14893869099528817,-1.2540845492118318,0.11815183408926902,0,IXcoin
KGC,Scrypt,PoW,151447649.8,265420800.0,-0.16734204489914672,-1.0974945982992723,-0.016458263981628307,0,KrugerCoin
LKY,Scrypt,PoW,19326319.14375,20000000.0,-0.1706988096973897,-1.0973967477918978,-0.01640390596130503,0,LuckyCoin
LTB,Scrypt,PoW,1104344.22938102,1350000.0,-0.1710539064405325,-1.0973917709115797,-0.016398039588943418,0,Litebar 
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.23513581767506295,0.5215159877979804,-0.7941361820965028,1,MaxCoin
MEC,Scrypt,PoW,38151999.9930997,42000000.0,-0.1703125581059831,-1.0974034209086083,-0.016410259819448186,0,MegaCoin
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.1613838908821206,-2.215180733015962,0.21010862773736855,0,MediterraneanCoin
MINT,Scrypt,PoS,21293925445.4969,0.0,-0.01768549417976364,0.79102860725337,-0.1601167657091895,1,MintCoin
MINC,Scrypt,PoW,5804204.88794916,10000000.0,-0.1709350676505348,-1.0973952067366877,-0.01639996462619315,0,MinCoin
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.27924471674357243,0.9747990266781769,-0.2426828102649013,1,MazaCoin
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.2776571876697621,0.784624713665025,-0.1556048742345033,1,Nautilus Coin
NAV,X13,PoW/PoS,66087096.2077108,0.0,-0.2793216983248774,1.950697902022068,-0.45802049688431634,1,NavCoin
NOBL,Scrypt,PoW,2366066305.76482,15000000000.0,-0.0356981100675321,-1.1050877450459793,-0.01850892509115548,0,NobleCoin
NMC,SHA-256,PoW,14736400.0,21000000.0,-0.1490163456714803,-1.2540864585304334,0.11815318173415652,0,Namecoin
NYAN,Scrypt,PoW,334709223.483138,337000000.0,-0.16459395479342398,-1.0974796409011156,-0.016504818828822623,0,NyanCoin
OPAL,X13,PoW/PoS,15156364.3306548,0.0,-0.2799442453487505,1.9506825952733773,-0.45800969299773736,1,OpalCoin
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000.0,-0.35450273363704643,0.6009653890596106,-0.24744549716366868,1,Orbitcoin
POT,Scrypt,PoW/PoS,222677226.014206,420000000.0,-0.3321695419033886,1.1321892491421373,-0.37672943181449414,1,PotCoin
PXC,Scrypt,PoW/PoS,73959274.625,98000000.0,-0.33627266921683663,1.1323250343223752,-0.37666333697013216,1,PhoenixCoin
RDD,Scrypt,PoW/PoS,29315567169.0888,0.0,0.020463859814890954,1.1411682513774053,-0.38285581634878824,1,Reddcoin
RPC,Scrypt,PoW,1104157.42169891,21000000.0,-0.1709144494161985,-1.0974027847897219,-0.016400147802093323,0,RonPaulCoin
SBC,Scrypt,PoW,24215181.725,250000000.0,-0.16900670301265114,-1.097524193455464,-0.016429619781030136,0,StableCoin
SMC,Scrypt,PoW,25593737.1355044,51200000.0,-0.17040076892881495,-1.0974123517740644,-0.016408582917374393,0,SmartCoin
SUPER,X11,PoS,50707661.7493518,0.0,-0.34634845963591304,0.9837491216331805,-0.12663314323055255,1,SuperCoin
SYNC,X11,PoW/PoS,1177.0,1000.0,-0.4068706896946153,1.3314626974608972,-0.34765981460932166,1,SyncCoin
SYS,SHA-256,PoW,563336541.299966,888000000.0,-0.1361573405628251,-1.2544075353257622,0.11794378710144812,0,SysCoin
TES,Multiple,PoS,80260463.7331396,100000000.0,-0.23326402443645664,-0.03393627655268248,0.011632404309502586,1,TeslaCoin
TGC,SHA-256,PoW,43536800.0,47011968.0,-0.14847969543411194,-1.2540923825473052,0.11814428150362895,0,TigerCoin
